,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
407,Kattivakkam,IN,13.2167,80.3167,84.29,78,25,13.56,scattered clouds
408,Taltal,CL,-25.4,-70.4833,68.14,78,55,2.93,broken clouds
409,Barsovo,RU,61.1667,73.1667,19.02,94,100,10.27,overcast clouds
410,Katobu,ID,-4.9408,122.5276,77.74,87,100,1.48,light rain
411,Constantine,DZ,36.365,6.6147,45.81,70,40,2.3,scattered clouds
412,Tocopilla,CL,-22.092,-70.1979,69.82,72,1,2.68,clear sky
413,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,82,99,5.73,overcast clouds
414,Yabrud,SY,33.9674,36.6574,35.26,71,98,6.04,overcast clouds
415,Coahuayana,MX,18.7333,-103.6833,70.74,89,23,4.09,few clouds
416,Avera,US,33.194,-82.5271,37.71,95,100,25.84,moderate rain
417,Kargopol,RU,61.5071,38.9456,20.35,95,100,10.78,light snow
418,Mangit,UZ,40.5971,70.9607,51.08,33,100,2.13,overcast clouds
419,Rawson,AR,-43.3002,-65.1023,60.06,24,74,21.3,broken clouds
420,Mafra,BR,-26.1114,-49.8053,74.93,66,71,3.58,broken clouds
421,Casian,PH,11.035,119.7136,80.15,77,22,26.17,few clouds
422,Okha,RU,53.5739,142.9478,7.61,97,67,10.63,broken clouds
423,Tucuman,AR,-26.8241,-65.2226,86.0,45,0,6.91,clear sky
